iiif_version,manifest_n,manifest_id,manifest_label,tot_pages,manifest_width_1p,img_info_width_1_1p,1a,1b,1c,2,img_info_width_3_1p,3a,3b,3c,4a,4b,4c
2,0,"https://api.irht.cnrs.fr/ark:/63955/fl685opg22dv/manifest.json","France, Boulogne-sur-Mer, fonds principal, 0188 (intégral)",40,5436,5436,OK_5321963,OK_5321963,OK_5321963,OK_5321963,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,1,"https://content.staatsbibliothek-berlin.de/dc/785884734/manifest","Astrologisch-astronomische Sammlung",671,600,3572,OK_2981745,OK_2981745,OK_2981745,OK_2981745,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,2,"https://mss-cat.trin.cam.ac.uk/Manuscript/R.15.32/manifest.json","R.15.32",120,2039,2039,OK_4111689,OK_4111689,OK_4111689,OK_4111689,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,3,"https://digitallibrary.unicatt.it/veneranda/data/public/manifests/0b/02/da/82/80/0a/f4/58/0b02da82800af458.json","I78sup.",302,1275,1393,FAIL,OK_551340,OK_551340,OK_551340,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,4,"https://www.e-rara.ch/i3f/v20/14575305/manifest","Euclides Reformatus, sive plana, et solida geometriae elementa opus",432,2134,2134,OK_610129,OK_610129,OK_610129,OK_134731,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,5,"https://acs.jarvis.memooria.org/meta/iiif/bdd8df6f-dc05-431c-955a-be2078018553/manifest","000002/1: ADMINISTRATION FILE (1945-07/1945-08)",145,582,582,OK_89379,OK_89379,OK_89379,OK_932,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,6,"https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A4B39C8CA-6FF9-11E1-8C42-C8A93B7C8C91","Document uit het archief van de dichter Dioskoros van Aphrodite",2,6215,6215,OK_5628433,OK_5628433,OK_5628433,OK_5628433,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,OK_5628433,OK_5628433,OK_5628433
2,7,"https://d.lib.ncsu.edu/collections/catalog/nubian-message-1992-11-30/manifest","Nubian Message, November 30, 1992",16,4703,4703,OK_4664279,FAIL,OK_4664279,OK_329675,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,8,"https://iiif.bodleian.ox.ac.uk/iiif/manifest/60834383-7146-41ab-bfe1-48ee97bc04be.json","Bodleian Library MS. Bodl. 264",565,5712,5712,OK_1215801,OK_1215801,OK_1215801,OK_923,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,9,"https://digital.library.villanova.edu/Item/vudl:92879/Manifest","Portrait gallery of pugilists of America and their contemporaries",196,4780,4780,OK_2583454,OK_2583454,OK_2583454,OK_2583454,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,10,"https://damsssl.llgc.org.uk/iiif/2.0/4387889/manifest.json","Texts on astronomy, [11 cent.]",100,3402,3402,OK_229367,OK_229367,OK_229367,FAIL_404,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,11,"https://iiif.lib.harvard.edu/manifests/ids:11927378","Harvard University, Harvard Art Museums, INV204583",1,1024,1024,OK_43832,OK_43832,OK_43832,OK_43832,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,12,"https://archives-deux-sevres-vienne.fr/ark:/28387/vta563c56f414a055ae/manifest","La Nouvelle République du Centre-Ouest :  8 septembre 1944-30 décembre 1945",788,3388,3388,OK_2140860,OK_2140860,OK_2140860,OK_2016323,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_146,OK_146,OK_146
2,13,"https://mazarinum.bibliotheque-mazarine.fr/iiif/1703/manifest","[Biblia latina]. Première partie",667,10488,10488,OK_11302007,OK_11302007,OK_11302007,OK_11302007,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,14,"https://adore.ugent.be/IIIF/manifests/archive.ugent.be:8ED9BD60-2689-11E6-BB79-D668D43445F2","Gent",1,5934,5934,OK_10449944,OK_10449944,OK_10449944,OK_10449944,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,OK_10449944,OK_10449944,OK_10449944
2,15,"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00110131/manifest","Naval affairs of England - BSB Cod.angl. 2",181,4989,4989,OK_7286032,OK_7286032,OK_7286032,OK_7286032,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
